Име,Величини,Линк до слика на продукт,Линк до продукт,Цена,Валута,Категорија
См010 Regular Fit Long Sleeve Orange,XL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-415.jpg,https://kosuli.mk/product/%d1%81%d0%bc010-regular-fit-long-sleeve-orange/,1500,ДЕН,casa moda
См009 Regular Fit Long Sleeve Brown|White,"M,L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-510.jpg,https://kosuli.mk/product/%d1%81%d0%bc009-regular-fit-long-sleeve-brownwhite/,1500,ДЕН,casa moda
См008 Regular Fit Long Sleeve,"M,L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-607.jpg,https://kosuli.mk/product/%d1%81%d0%bc008-regular-fit-long-sleeve/,1500,ДЕН,casa moda
См007 Regular Fit Long Sleeve Green,"S,M,L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-410.jpg,https://kosuli.mk/product/%d1%81%d0%bc007-regular-fit-long-sleeve-green/,1500,ДЕН,casa moda
См006 Regular Fit Long Sleeve,"M,L,XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-420.jpg,https://kosuli.mk/product/%d1%81%d0%bc006-regular-fit-long-sleeve/,1500,ДЕН,casa moda
Cm005 Regular Fit Long Sleeve Silver,"M,L,XL,XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-400.jpg,https://kosuli.mk/product/cm005-regular-fit-long-sleeve-silver-2/,1500,ДЕН,casa moda
Cm004 Regular Fit Long Sleeve Silver,"M,L,XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-603.jpg,https://kosuli.mk/product/cm004-regular-fit-long-sleeve-silver/,1500,ДЕН,casa moda
Артикл См003,L,https://kosuli.mk/wp-content/uploads/2021/05/3-1.png,https://kosuli.mk/product/artikl-cm003/,1500,ДЕН,casa moda
Cm002 Regular Fit Long Sleeve Blue/White,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-603.jpg,https://kosuli.mk/product/cm002-regular-fit-long-sleeve-blue-white/,1500,ДЕН,casa moda
Cm001 Regular Fit Long Sleeve Brown,"M,L,XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-395.jpg,https://kosuli.mk/product/cm001-regular-fit-long-sleeve-brown/,1500,ДЕН,casa moda
Ffr054 Regular Fit Long Sleeve Yellow/Blue,XXL,https://kosuli.mk/wp-content/uploads/2022/11/54.jpg,https://kosuli.mk/product/ffr054-regular-fit-long-sleeve-yellow-blue/,1500,ДЕН,ff fashion
Ffr053 Regular Fit Long Sleeve Black/Color Print,"3XL,4XL",https://kosuli.mk/wp-content/uploads/2022/11/53.jpg,https://kosuli.mk/product/ffr053-regular-fit-long-sleeve-black-color-print/,1800,ДЕН,ff fashion
Ffr052 Regular Fit Long Sleeve Red/Blue Print,"M,L,XL,3XL,4XL",https://kosuli.mk/wp-content/uploads/2022/11/52.jpg,https://kosuli.mk/product/ffr052-regular-fit-long-sleeve-red-blue-print/,1500,ДЕН,ff fashion
Ffr051 Regular Fit Long Sleeve Blue/Line,3XL,https://kosuli.mk/wp-content/uploads/2022/11/51.jpg,https://kosuli.mk/product/ffr051-regular-fit-long-sleeve-blue-line/,1500,ДЕН,ff fashion
Ffr050 Regular Fit Long Sleeve Blue/Red Line,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2022/11/50.jpg,https://kosuli.mk/product/ffr050-regular-fit-long-sleeve-blue-red-line/,1500,ДЕН,ff fashion
Ffr049 Regular Fit Long Sleeve Yellow/Blue,XXL,https://kosuli.mk/wp-content/uploads/2022/11/49.jpg,https://kosuli.mk/product/ffr049-regular-fit-long-sleeve-yellow-blue/,1500,ДЕН,ff fashion
Ffr048 Regular Fit Long Sleeve Blue/White/Orange,L,https://kosuli.mk/wp-content/uploads/2022/11/48.jpg,https://kosuli.mk/product/ffr048-regular-fit-long-sleeve-blue-white-orange/,1500,ДЕН,ff fashion
Ffr047 Regular Fit Long Sleeve White/Print,"L,3XL",https://kosuli.mk/wp-content/uploads/2022/11/47.jpg,https://kosuli.mk/product/ffr047-regular-fit-long-sleeve-white-print/,1800,ДЕН,ff fashion
Ffr046 Regular Fit Long Sleeve Orange/Blue Print,"M,L,XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2022/11/46.jpg,https://kosuli.mk/product/ffr046-regular-fit-long-sleeve-orange-blue-print/,1500,ДЕН,ff fashion
Ffr045 Regular Fit Long Sleeve Blue/Oxford,"M,L,XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2022/11/283406895_5370842356371522_9138569670120412069_n.jpg,https://kosuli.mk/product/ffr045-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
Ffs003 Slim Fit Long Sleeve Blue Print,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/12/WEB-46.jpg,https://kosuli.mk/product/ffs003-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
#Ffr044# Regular Fit Long Sleeve Blue Oxford,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/12/3-22.png,https://kosuli.mk/product/ffr044-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
#Ffr043# Regular Fit Long Sleeve White\Blue Oxford,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/12/2-20.png,https://kosuli.mk/product/ffr043-regular-fit-long-sleeve-whiteblue-oxford/,1500,ДЕН,ff fashion
#Ffr042# Regular Fit Long Sleeve White\Blue Oxford,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/12/2-19.png,https://kosuli.mk/product/ffr042-regular-fit-long-sleeve-whiteblue-oxford/,1500,ДЕН,ff fashion
#Ffr041# Regular Fit Long Sleeve Silver Oxford,XL,https://kosuli.mk/wp-content/uploads/2021/12/3-19.png,https://kosuli.mk/product/ffr041-regular-fit-long-sleeve-silver-oxford/,1500,ДЕН,ff fashion
#Ffr040# Regular Fit Long Sleeve Blue Oxford,"XL,3XL",https://kosuli.mk/wp-content/uploads/2021/12/1-16.png,https://kosuli.mk/product/ffr040-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
#Ffr039# Regular Fit Long Sleeve Red Oxford,XXL,https://kosuli.mk/wp-content/uploads/2021/12/3-18.png,https://kosuli.mk/product/ffr039-regular-fit-long-sleeve-red-oxford/,1500,ДЕН,ff fashion
#Ffr038# Regular Fit Long Sleeve Blue Oxford,XXL,https://kosuli.mk/wp-content/uploads/2021/12/3-17.png,https://kosuli.mk/product/ffr038-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
#Ffr037# Regular Fit Long Sleeve Blue Oxford,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/12/2-13.png,https://kosuli.mk/product/ffr037-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
#Ffr036# Regular Fit Long Sleeve White Oxford,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/12/2-12.png,https://kosuli.mk/product/ffr036-regular-fit-long-sleeve-white-oxford/,1800,ДЕН,ff fashion
#Ffr035# Regular Fit Long Sleeve Blue Oxford,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/12/2-14.png,https://kosuli.mk/product/ffr035-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
#Ffr034# Regular Fit Long Sleeve Pink,XXL,https://kosuli.mk/wp-content/uploads/2021/12/3-12.png,https://kosuli.mk/product/ffr034-regular-fit-long-sleeve-pink/,1500,ДЕН,ff fashion
#Ffr033# Regular Fit Long Sleeve Red,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/12/4-9.png,https://kosuli.mk/product/ffr033-regular-fit-long-sleeve-red/,1500,ДЕН,ff fashion
#Ffr032# Regular Fit Long Sleeve Silver Oxford,"M,L,XL,XXL",https://kosuli.mk/wp-content/uploads/2021/12/1-9.png,https://kosuli.mk/product/ffr032-regular-fit-long-sleeve-silver-oxford/,1500,ДЕН,ff fashion
#Ffr031# Regular Fit Long Sleeve Red,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/12/4-7.png,https://kosuli.mk/product/ffr031-regular-fit-long-sleeve-red/,1500,ДЕН,ff fashion
#Ffr030# Regular Fit Long Sleeve Silver Oxford,3XL,https://kosuli.mk/wp-content/uploads/2021/12/3-8.png,https://kosuli.mk/product/ffr030-regular-fit-long-sleeve-silver-oxford/,1500,ДЕН,ff fashion
#Ffr029# Regular Fit Long Sleeve Black,"М,L,XL,XXL",https://kosuli.mk/wp-content/uploads/2021/12/FFR029.1-scaled.jpg,https://kosuli.mk/product/ffr029-regular-fit-long-sleeve-black/,1800,ДЕН,ff fashion
#Ffr028# Regular Fit Long Sleeve Blue Oxford,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/12/2-6.png,https://kosuli.mk/product/ffr028-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
#Ffr027# Regular Fit Long Sleeve White\Blue Oxford,XXL,https://kosuli.mk/wp-content/uploads/2021/12/1-5.png,https://kosuli.mk/product/ffr027-regular-fit-long-sleeve-whiteblue-oxford/,1500,ДЕН,ff fashion
#Ffr026# Regular Fit Long Sleeve Blue Oxford,"М,L,XL,XXL,3XL,4XL",https://kosuli.mk/wp-content/uploads/2021/12/3-4.png,https://kosuli.mk/product/ffr026-regular-fit-long-sleeve-blue-oxford/,1800,ДЕН,ff fashion
#Ffr023# Regular Fit Long Sleeve Blue Print,"XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/12/2-2.png,https://kosuli.mk/product/ffr023-regular-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
#Ffr022# Regular Fit Long Sleeve Blue Oxford,XXL,https://kosuli.mk/wp-content/uploads/2021/12/4-1.png,https://kosuli.mk/product/ffr022-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
#Ffr021# Regular Fit Long Sleeve White\Blue Oxford,XXL,https://kosuli.mk/wp-content/uploads/2021/12/2.png,https://kosuli.mk/product/ffr021-regular-fit-long-sleeve-whiteblue-oxford/,1500,ДЕН,ff fashion
#Ffr020# Regular Fit Long Sleeve Blue Oxford,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/12/Untitled-design-2.png,https://kosuli.mk/product/ffr020-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН,ff fashion
Ffs003 Slim Fit Long Sleeve Blue Print,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-46.jpg,https://kosuli.mk/product/ffs003-slim-fit-long-sleeve-blue-print-2/,1500,ДЕН,ff fashion
Ffs021 Slim Fit Long Sleeve Blue Print,XXL,https://kosuli.mk/wp-content/uploads/2021/06/WEB-219.jpg,https://kosuli.mk/product/ffs021-slim-fit-long-sleeve-blue-print-2/,1500,ДЕН,ff fashion
Ffs020 Slim Fit Long Sleeve Blue Print,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-251.jpg,https://kosuli.mk/product/ffs020-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
Ffs019 Slim Fit Long Sleeve Blue Print,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/06/Artikal-EFS019-1.jpg,https://kosuli.mk/product/ffs019-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
Ffs018 Slim Fit Long Sleeve Blue Print,"XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-264.jpg,https://kosuli.mk/product/ffs018-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
Ffs017 Slim Fit Long Sleeve Blue Print,"L,XL,XXL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-241.jpg,https://kosuli.mk/product/ffs017-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
Ffs016 Slim Fit Long Sleeve Silver Print,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-57.jpg,https://kosuli.mk/product/ffs016-slim-fit-long-sleeve-silver-print/,1500,ДЕН,ff fashion
Efs015 Slim Fit Long Sleeve Blue Print,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-32.jpg,https://kosuli.mk/product/efs015-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
Ffs014 Slim Fit Long Sleeve Blue Bike,"XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-226.jpg,https://kosuli.mk/product/ffs014-slim-fit-long-sleeve-blue-bike/,1500,ДЕН,ff fashion
Ffs013 Slim Fit Long Sleeve Silver/Brown Print,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-81.jpg,https://kosuli.mk/product/ffs013-slim-fit-long-sleeve-silver-brown-print/,1500,ДЕН,ff fashion
Ffs012 Slim Fit Long Sleeve Yellow Print,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-30.jpg,https://kosuli.mk/product/ffs012-slim-fit-long-sleeve-yellow-print/,1500,ДЕН,ff fashion
Ffs011 Slim Fit Long Sleeve Orange Print,"L,XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/06/WEB-262.jpg,https://kosuli.mk/product/ffs011-slim-fit-long-sleeve-orange-print/,1500,ДЕН,ff fashion
Ffs010 Slim Fit Long Sleeve Blue Print,"XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-50.jpg,https://kosuli.mk/product/ffs010-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
Ffs009 Slim Fit Long Sleeve Blue Print,"XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-211.jpg,https://kosuli.mk/product/ffs009-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
Ffs008 Slim Fit Long Sleeve Blue Print,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-71.jpg,https://kosuli.mk/product/ffs008-slim-fit-long-sleeve-blue-print/,1500,ДЕН,ff fashion
Ffs007 Slim Fit Long Sleeve Orange Print,"XL,3XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-239.jpg,https://kosuli.mk/product/ffs007-slim-fit-long-sleeve-orange-print/,1500,ДЕН,ff fashion
Ffs006 Slim Fit Long Sleeve Silver Print,"XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-131.jpg,https://kosuli.mk/product/ffs006-slim-fit-long-sleeve-silver-print/,1500,ДЕН,ff fashion
Ffs005 Slim Fit Long Sleeve Blue Flower Print,"L,XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-63.jpg,https://kosuli.mk/product/ffs005-slim-fit-long-sleeve-blue-flower-print/,1500,ДЕН,ff fashion
Ffs004 Slim Fit Long Sleeve Orange Print,"XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-231.jpg,https://kosuli.mk/product/ffs004-slim-fit-long-sleeve-orange-print/,1500,ДЕН,ff fashion
Ffs002 Slim Fit Long Sleeve Brown Print,"L,XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-75.jpg,https://kosuli.mk/product/ffs002-slim-fit-long-sleeve-brown-print/,1500,ДЕН,ff fashion
Ffs001 Slim Fit Long Sleeve Orange Print,"XL,XXL,3XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-39.jpg,https://kosuli.mk/product/ffs001-slim-fit-long-sleeve-orange-print/,1500,ДЕН,ff fashion
Ffm010 Modern Fit Short Sleeve,"L,XL,XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-319.jpg,https://kosuli.mk/product/ffm010-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm009 Modern Fit Short Sleeve,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-312.jpg,https://kosuli.mk/product/ffm009-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm008 Modern Fit Short Sleeve,"XXL,4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-291.jpg,https://kosuli.mk/product/ffm008-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm007 Modern Fit Short Sleeve,"M,L,XL,XXL,5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-331.jpg,https://kosuli.mk/product/ffm007-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm006 Modern Fit Short Sleeve,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-337.jpg,https://kosuli.mk/product/ffm006-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm005 Modern Fit Short Sleeve,"M,L,XL,XXL,3XL,4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-339.jpg,https://kosuli.mk/product/ffm005-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm004 Modern Fit Short Sleeve,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-293.jpg,https://kosuli.mk/product/ffm004-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm003 Modern Fit Short Sleeve,"L,XXL,XL,4XL,5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-322.jpg,https://kosuli.mk/product/ffm003-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm002 Modern Fit Short Sleeve,"M,XXL,4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-306.jpg,https://kosuli.mk/product/ffm002-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm001 Modern Fit Short Sleeve,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-300.jpg,https://kosuli.mk/product/ffm001-modern-fit-short-sleeve/,1500,ДЕН,ff fashion
Ffm010 Modern Fit Short Sleeve,"L,XL,XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-319.jpg,https://kosuli.mk/product/ffm010-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm009 Modern Fit Short Sleeve,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-312.jpg,https://kosuli.mk/product/ffm009-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm008 Modern Fit Short Sleeve,"XXL,4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-291.jpg,https://kosuli.mk/product/ffm008-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm007 Modern Fit Short Sleeve,"M,L,XL,XXL,5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-331.jpg,https://kosuli.mk/product/ffm007-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm006 Modern Fit Short Sleeve,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-337.jpg,https://kosuli.mk/product/ffm006-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm005 Modern Fit Short Sleeve,"M,L,XL,XXL,3XL,4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-339.jpg,https://kosuli.mk/product/ffm005-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm004 Modern Fit Short Sleeve,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-293.jpg,https://kosuli.mk/product/ffm004-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm003 Modern Fit Short Sleeve,"L,XXL,XL,4XL,5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-322.jpg,https://kosuli.mk/product/ffm003-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm002 Modern Fit Short Sleeve,"M,XXL,4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-306.jpg,https://kosuli.mk/product/ffm002-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ffm001 Modern Fit Short Sleeve,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-300.jpg,https://kosuli.mk/product/ffm001-modern-fit-short-sleeve/,1500,ДЕН,modern fit
Ve033 Slim Fit Long Sleeve Silver,"M,L,XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-485-1.jpg,https://kosuli.mk/product/ve033-slim-fit-long-sleeve-silver/,1500,ДЕН,venti
Ve040 Slim Fit Long Sleeve Blue\White,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-522.jpg,https://kosuli.mk/product/ve040-slim-fit-long-sleeve-bluewhite/,1500,ДЕН,venti
Ve038 Slim Fit Long Sleeve Blue\Line,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-501.jpg,https://kosuli.mk/product/ve038-slim-fit-long-sleeve-blueline/,1500,ДЕН,venti
Ve036 Slim Fit Long Sleeve White,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/05/WEB-537.jpg,https://kosuli.mk/product/ve036-slim-fit-long-sleeve-white/,1500,ДЕН,venti
Ve026 Slim Fit Long Sleeve Brown,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-557.jpg,https://kosuli.mk/product/ve026-slim-fit-long-sleeve-brown/,1500,ДЕН,venti
Ve035 Slim Fit Long Sleeve Silver,"M,L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-498.jpg,https://kosuli.mk/product/ve035-slim-fit-long-sleeve-silver/,1500,ДЕН,venti
Ve044 Slim Fit Long Sleeve Blue,НЕМА ДОСТАПНА ВЕЛЧИНА,https://kosuli.mk/wp-content/uploads/2021/05/WEB-505.jpg,https://kosuli.mk/product/ve044-slim-fit-long-sleeve-blue/,1500,ДЕН,venti
