Име,Величини,Линк до слика на продукт,Линк до продукт,Цена,Валута
Ffr054 Regular Fit Long Sleeve Yellow/Blue,['XXL'],https://kosuli.mk/wp-content/uploads/2022/11/54.jpg,https://kosuli.mk/product/ffr054-regular-fit-long-sleeve-yellow-blue/,1500,ДЕН
Ffr053 Regular Fit Long Sleeve Black/Color Print,"['3XL', '4XL']",https://kosuli.mk/wp-content/uploads/2022/11/53.jpg,https://kosuli.mk/product/ffr053-regular-fit-long-sleeve-black-color-print/,1800,ДЕН
Ffr052 Regular Fit Long Sleeve Red/Blue Print,"['M', 'L', 'XL', '3XL', '4XL']",https://kosuli.mk/wp-content/uploads/2022/11/52.jpg,https://kosuli.mk/product/ffr052-regular-fit-long-sleeve-red-blue-print/,1500,ДЕН
Ffr051 Regular Fit Long Sleeve Blue/Line,['3XL'],https://kosuli.mk/wp-content/uploads/2022/11/51.jpg,https://kosuli.mk/product/ffr051-regular-fit-long-sleeve-blue-line/,1500,ДЕН
Ffr050 Regular Fit Long Sleeve Blue/Red Line,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2022/11/50.jpg,https://kosuli.mk/product/ffr050-regular-fit-long-sleeve-blue-red-line/,1500,ДЕН
Ffr049 Regular Fit Long Sleeve Yellow/Blue,['XXL'],https://kosuli.mk/wp-content/uploads/2022/11/49.jpg,https://kosuli.mk/product/ffr049-regular-fit-long-sleeve-yellow-blue/,1500,ДЕН
Ffr048 Regular Fit Long Sleeve Blue/White/Orange,['L'],https://kosuli.mk/wp-content/uploads/2022/11/48.jpg,https://kosuli.mk/product/ffr048-regular-fit-long-sleeve-blue-white-orange/,1500,ДЕН
Ffr047 Regular Fit Long Sleeve White/Print,"['L', '3XL']",https://kosuli.mk/wp-content/uploads/2022/11/47.jpg,https://kosuli.mk/product/ffr047-regular-fit-long-sleeve-white-print/,1800,ДЕН
Ffr046 Regular Fit Long Sleeve Orange/Blue Print,"['M', 'L', 'XL', 'XXL', '3XL']",https://kosuli.mk/wp-content/uploads/2022/11/46.jpg,https://kosuli.mk/product/ffr046-regular-fit-long-sleeve-orange-blue-print/,1500,ДЕН
Ffr045 Regular Fit Long Sleeve Blue/Oxford,"['M', 'L', 'XL', 'XXL', '3XL']",https://kosuli.mk/wp-content/uploads/2022/11/283406895_5370842356371522_9138569670120412069_n.jpg,https://kosuli.mk/product/ffr045-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
Ffs003 Slim Fit Long Sleeve Blue Print,"['XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/12/WEB-46.jpg,https://kosuli.mk/product/ffs003-slim-fit-long-sleeve-blue-print/,1500,ДЕН
#Ffr044# Regular Fit Long Sleeve Blue Oxford,"['XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/12/3-22.png,https://kosuli.mk/product/ffr044-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
#Ffr043# Regular Fit Long Sleeve White\Blue Oxford,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/12/2-20.png,https://kosuli.mk/product/ffr043-regular-fit-long-sleeve-whiteblue-oxford/,1500,ДЕН
#Ffr042# Regular Fit Long Sleeve White\Blue Oxford,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/12/2-19.png,https://kosuli.mk/product/ffr042-regular-fit-long-sleeve-whiteblue-oxford/,1500,ДЕН
#Ffr041# Regular Fit Long Sleeve Silver Oxford,['XL'],https://kosuli.mk/wp-content/uploads/2021/12/3-19.png,https://kosuli.mk/product/ffr041-regular-fit-long-sleeve-silver-oxford/,1500,ДЕН
#Ffr040# Regular Fit Long Sleeve Blue Oxford,"['XL', '3XL']",https://kosuli.mk/wp-content/uploads/2021/12/1-16.png,https://kosuli.mk/product/ffr040-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
#Ffr039# Regular Fit Long Sleeve Red Oxford,['XXL'],https://kosuli.mk/wp-content/uploads/2021/12/3-18.png,https://kosuli.mk/product/ffr039-regular-fit-long-sleeve-red-oxford/,1500,ДЕН
#Ffr038# Regular Fit Long Sleeve Blue Oxford,['XXL'],https://kosuli.mk/wp-content/uploads/2021/12/3-17.png,https://kosuli.mk/product/ffr038-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
#Ffr037# Regular Fit Long Sleeve Blue Oxford,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/12/2-13.png,https://kosuli.mk/product/ffr037-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
#Ffr036# Regular Fit Long Sleeve White Oxford,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/12/2-12.png,https://kosuli.mk/product/ffr036-regular-fit-long-sleeve-white-oxford/,1800,ДЕН
#Ffr035# Regular Fit Long Sleeve Blue Oxford,"['XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/12/2-14.png,https://kosuli.mk/product/ffr035-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
#Ffr034# Regular Fit Long Sleeve Pink,['XXL'],https://kosuli.mk/wp-content/uploads/2021/12/3-12.png,https://kosuli.mk/product/ffr034-regular-fit-long-sleeve-pink/,1500,ДЕН
#Ffr033# Regular Fit Long Sleeve Red,"['XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/12/4-9.png,https://kosuli.mk/product/ffr033-regular-fit-long-sleeve-red/,1500,ДЕН
#Ffr032# Regular Fit Long Sleeve Silver Oxford,"['M', 'L', 'XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/12/1-9.png,https://kosuli.mk/product/ffr032-regular-fit-long-sleeve-silver-oxford/,1500,ДЕН
#Ffr031# Regular Fit Long Sleeve Red,"['XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/12/4-7.png,https://kosuli.mk/product/ffr031-regular-fit-long-sleeve-red/,1500,ДЕН
#Ffr030# Regular Fit Long Sleeve Silver Oxford,['3XL'],https://kosuli.mk/wp-content/uploads/2021/12/3-8.png,https://kosuli.mk/product/ffr030-regular-fit-long-sleeve-silver-oxford/,1500,ДЕН
#Ffr029# Regular Fit Long Sleeve Black,"['М', 'L', 'XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/12/FFR029.1-scaled.jpg,https://kosuli.mk/product/ffr029-regular-fit-long-sleeve-black/,1800,ДЕН
#Ffr028# Regular Fit Long Sleeve Blue Oxford,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/12/2-6.png,https://kosuli.mk/product/ffr028-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
#Ffr027# Regular Fit Long Sleeve White\Blue Oxford,['XXL'],https://kosuli.mk/wp-content/uploads/2021/12/1-5.png,https://kosuli.mk/product/ffr027-regular-fit-long-sleeve-whiteblue-oxford/,1500,ДЕН
#Ffr026# Regular Fit Long Sleeve Blue Oxford,"['М', 'L', 'XL', 'XXL', '3XL', '4XL']",https://kosuli.mk/wp-content/uploads/2021/12/3-4.png,https://kosuli.mk/product/ffr026-regular-fit-long-sleeve-blue-oxford/,1800,ДЕН
#Ffr023# Regular Fit Long Sleeve Blue Print,"['XL', 'XXL', '3XL']",https://kosuli.mk/wp-content/uploads/2021/12/2-2.png,https://kosuli.mk/product/ffr023-regular-fit-long-sleeve-blue-print/,1500,ДЕН
#Ffr022# Regular Fit Long Sleeve Blue Oxford,['XXL'],https://kosuli.mk/wp-content/uploads/2021/12/4-1.png,https://kosuli.mk/product/ffr022-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
#Ffr021# Regular Fit Long Sleeve White\Blue Oxford,['XXL'],https://kosuli.mk/wp-content/uploads/2021/12/2.png,https://kosuli.mk/product/ffr021-regular-fit-long-sleeve-whiteblue-oxford/,1500,ДЕН
#Ffr020# Regular Fit Long Sleeve Blue Oxford,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/12/Untitled-design-2.png,https://kosuli.mk/product/ffr020-regular-fit-long-sleeve-blue-oxford/,1500,ДЕН
Ffs003 Slim Fit Long Sleeve Blue Print,"['XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/06/WEB-46.jpg,https://kosuli.mk/product/ffs003-slim-fit-long-sleeve-blue-print-2/,1500,ДЕН
Ffs021 Slim Fit Long Sleeve Blue Print,['XXL'],https://kosuli.mk/wp-content/uploads/2021/06/WEB-219.jpg,https://kosuli.mk/product/ffs021-slim-fit-long-sleeve-blue-print-2/,1500,ДЕН
Ffs020 Slim Fit Long Sleeve Blue Print,"['XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/06/WEB-251.jpg,https://kosuli.mk/product/ffs020-slim-fit-long-sleeve-blue-print/,1500,ДЕН
